,inning,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,x,y,z,extras,wicket,wicket_method
57,1,5616,31820,Matthew Hayden,Ashish Nehra,8.2,2.0,2.0,95.0,84.0,7.0,0.0,,
58,1,5616,31820,Matthew Hayden,Ashish Nehra,8.3,0.0,0.0,0.0,0.0,0.0,0.0,,
59,1,5616,31820,Matthew Hayden,Ashish Nehra,8.4,4.0,4.0,33.0,110.0,7.0,0.0,,
60,1,5616,31820,Matthew Hayden,Ashish Nehra,8.5,0.0,0.0,0.0,0.0,0.0,0.0,,
61,1,5616,31820,Matthew Hayden,Ashish Nehra,8.6,1.0,1.0,117.0,201.0,6.0,0.0,,
62,1,5616,29264,Matthew Hayden,Harbhajan Singh,9.1,1.0,1.0,121.0,211.0,6.0,0.0,,
63,1,5390,29264,Adam Gilchrist,Harbhajan Singh,9.2,0.0,0.0,0.0,0.0,0.0,0.0,,
64,1,5390,29264,Adam Gilchrist,Harbhajan Singh,9.3,0.0,0.0,0.0,0.0,0.0,0.0,,
65,1,5390,29264,Adam Gilchrist,Harbhajan Singh,9.4,1.0,1.0,68.0,196.0,6.0,0.0,,
66,1,5616,29264,Matthew Hayden,Harbhajan Singh,9.5,0.0,0.0,0.0,0.0,0.0,0.0,,
67,1,5616,29264,Matthew Hayden,Harbhajan Singh,9.6,4.0,4.0,21.0,163.0,7.0,0.0,,
68,1,5390,31820,Adam Gilchrist,Ashish Nehra,10.1,0.0,1.0,0.0,0.0,0.0,1.0,,
69,1,5616,31820,Matthew Hayden,Ashish Nehra,10.2,0.0,0.0,0.0,0.0,0.0,0.0,,
70,1,5616,31820,Matthew Hayden,Ashish Nehra,10.3,0.0,1.0,0.0,0.0,0.0,1.0,,
71,1,5616,31820,Matthew Hayden,Ashish Nehra,10.3,0.0,1.0,0.0,0.0,0.0,1.0,,
72,1,5616,31820,Matthew Hayden,Ashish Nehra,10.3,0.0,0.0,0.0,0.0,0.0,0.0,,
73,1,5616,31820,Matthew Hayden,Ashish Nehra,10.4,0.0,0.0,0.0,0.0,0.0,0.0,,
74,1,5616,31820,Matthew Hayden,Ashish Nehra,10.5,4.0,4.0,252.0,318.0,4.0,0.0,,
75,1,5616,31820,Matthew Hayden,Ashish Nehra,10.6,0.0,0.0,0.0,0.0,0.0,0.0,,
76,1,5390,29264,Adam Gilchrist,Harbhajan Singh,11.1,1.0,1.0,53.0,143.0,7.0,0.0,,
77,1,5616,29264,Matthew Hayden,Harbhajan Singh,11.2,0.0,0.0,0.0,0.0,0.0,0.0,,
78,1,5616,29264,Matthew Hayden,Harbhajan Singh,11.3,2.0,2.0,280.0,230.0,3.0,0.0,,
79,1,5616,29264,Matthew Hayden,Harbhajan Singh,11.4,4.0,4.0,288.0,292.0,4.0,0.0,,
80,1,5616,29264,Matthew Hayden,Harbhajan Singh,11.5,0.0,0.0,0.0,0.0,0.0,0.0,,
81,1,5616,29264,Matthew Hayden,Harbhajan Singh,11.6,0.0,0.0,0.0,0.0,0.0,0.0,,
82,1,5390,31820,Adam Gilchrist,Ashish Nehra,12.1,0.0,0.0,0.0,0.0,0.0,0.0,,
83,1,5390,31820,Adam Gilchrist,Ashish Nehra,12.2,0.0,0.0,0.0,0.0,0.0,0.0,,
84,1,5390,31820,Adam Gilchrist,Ashish Nehra,12.3,2.0,2.0,73.0,245.0,6.0,0.0,,
85,1,5390,31820,Adam Gilchrist,Ashish Nehra,12.4,2.0,2.0,125.0,76.0,8.0,0.0,,
86,1,5390,31820,Adam Gilchrist,Ashish Nehra,12.5,0.0,0.0,0.0,0.0,0.0,0.0,,
87,1,5390,31820,Adam Gilchrist,Ashish Nehra,12.6,1.0,1.0,202.0,152.0,2.0,0.0,,
88,1,5390,29264,Adam Gilchrist,Harbhajan Singh,13.1,0.0,0.0,0.0,0.0,0.0,0.0,,
89,1,5390,29264,Adam Gilchrist,Harbhajan Singh,13.2,0.0,0.0,0.0,0.0,0.0,0.0,,
90,1,5390,29264,Adam Gilchrist,Harbhajan Singh,13.3,0.0,0.0,0.0,0.0,0.0,0.0,,
91,1,5390,29264,Adam Gilchrist,Harbhajan Singh,13.4,4.0,4.0,336.0,208.0,3.0,0.0,,
92,1,5390,29264,Adam Gilchrist,Harbhajan Singh,13.5,2.0,2.0,46.0,136.0,7.0,0.0,,
93,1,5390,29264,Adam Gilchrist,Harbhajan Singh,13.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,caught
94,1,7133,31820,Ricky Ponting,Ashish Nehra,14.1,0.0,1.0,0.0,0.0,0.0,1.0,,
95,1,7133,31820,Ricky Ponting,Ashish Nehra,14.1,0.0,0.0,0.0,0.0,0.0,0.0,,
96,1,7133,31820,Ricky Ponting,Ashish Nehra,14.2,0.0,1.0,0.0,0.0,0.0,1.0,,
97,1,5616,31820,Matthew Hayden,Ashish Nehra,14.3,0.0,0.0,0.0,0.0,0.0,0.0,,
98,1,5616,31820,Matthew Hayden,Ashish Nehra,14.4,0.0,0.0,0.0,0.0,0.0,0.0,,
99,1,5616,31820,Matthew Hayden,Ashish Nehra,14.5,0.0,0.0,0.0,0.0,0.0,0.0,,
100,1,5616,31820,Matthew Hayden,Ashish Nehra,14.6,0.0,0.0,0.0,0.0,0.0,0.0,,
101,1,7133,29264,Ricky Ponting,Harbhajan Singh,15.1,1.0,1.0,274.0,96.0,2.0,0.0,,
102,1,5616,29264,Matthew Hayden,Harbhajan Singh,15.2,0.0,0.0,0.0,0.0,0.0,0.0,,
103,1,5616,29264,Matthew Hayden,Harbhajan Singh,15.3,1.0,1.0,85.0,97.0,7.0,0.0,,
104,1,7133,29264,Ricky Ponting,Harbhajan Singh,15.4,0.0,0.0,0.0,0.0,0.0,0.0,,
105,1,7133,29264,Ricky Ponting,Harbhajan Singh,15.5,2.0,2.0,228.0,45.0,1.0,0.0,,
106,1,7133,29264,Ricky Ponting,Harbhajan Singh,15.6,1.0,1.0,290.0,199.0,3.0,0.0,,
107,1,7133,31820,Ricky Ponting,Ashish Nehra,16.1,1.0,1.0,235.0,70.0,1.0,0.0,,
108,1,5616,31820,Matthew Hayden,Ashish Nehra,16.2,1.0,1.0,126.0,223.0,5.0,0.0,,
109,1,7133,31820,Ricky Ponting,Ashish Nehra,16.3,0.0,0.0,0.0,0.0,0.0,0.0,,
110,1,7133,31820,Ricky Ponting,Ashish Nehra,16.4,0.0,0.0,0.0,0.0,0.0,0.0,,
111,1,7133,31820,Ricky Ponting,Ashish Nehra,16.5,0.0,0.0,0.0,0.0,0.0,0.0,,
112,1,7133,31820,Ricky Ponting,Ashish Nehra,16.6,0.0,0.0,0.0,0.0,0.0,0.0,,
113,1,5616,29264,Matthew Hayden,Harbhajan Singh,17.1,1.0,1.0,91.0,198.0,6.0,0.0,,
